artist_id,name,followers,artist_popularity,genre_1,genre_2,genre_3
7vahFRSKRiVDOejIMEBWvO,Joseph of Mercury,7857,22,,,
7vAEvCZlKOLpLqHzfAPdej,Alonso Mudarra,1257,23,renaissance,spanish renaissance,
7vA4reE0DYbBu0wPiKditj,Rafael Stonne,951,0,,,
7v9HwZnQWL9zfACSgDqz3f,Israel Wusu,248,6,rhode island rap,,
7v8N36cC4msGrIM2YT4LNC,George The Poet,38024,38,slam poetry,,
7v6ommxuDerxVn2vYcbSrx,Lil Deedz,36,1,,,
7v5Nl3vPxiYr4Rp8jsGPfa,메건리,112,1,,,
7v57fCWxYGDdhK7dG7RPTc,Prince Ea,29928,14,conscious hip hop,,
7v4VPHtsRZRnrsUjQz9smk,Harry Farmer,20,0,,,
7v4imS0moSyGdXyLgVTIV7,Nat King Cole,2160352,78,adult standards,lounge,soul
7v3UK9inPPDF0EzuqTE4d6,Demi Knight,395,2,dutch americana,,
7v3g6YWSgDGIsSZFlCznOL,Calvin Durant,5,20,,,
7v2dVJp5eFIK80kJElkZwN,Demi Pallas,12,0,,,
7v14HSGMSqKh5joixTNXMr,Die Säcke,1086,4,,,
7v0AyOmTJ2WWN16RjvGLSe,Jaayfendi,16,0,,,
7uzYBLuZgi8Sh824n2lBtq,Pentacle,1422,2,dutch death metal,,
7uzBKhYbCKBs53kDrO4Suc,RubberBand,92732,42,hong kong rock,,
7uyYni0yr9OgQPGS7Qv8JP,Rock and Roll,4349,8,,,
7uyql7QaJZdpubTRISfvbK,Akz,24025,42,uk drill,,
7uYAGE6t8TTXmkUtgpB8qa,Shower Power,7424,22,sda a cappella,south african gospel,
7uxQRgUOdeCzQycJiz8pTK,Under Control,238,0,,,
7uXg8cHXoZzR2edMEXR8t1,Mosunn Music,35,0,,,
7uwtUiGP3iz7uuYXPCV0vn,School for the Blind,464,2,,,
7uWSNqvFk0TnPO9zKbzLI5,Chingo Bling,99555,37,chicano rap,latin hip hop,latino comedy
7uwQPQsBYgrSd63xgeMyuM,T.R.U.,8163,24,atl hip hop,atl trap,
7uW4ZUJAyLxQUNl59Po0pZ,Kaizen En La Tribu,56,0,,,
7uvzv86RFXkF4e3FRxrteq,J Cottie,19,0,,,
7uvf9bsJVUHUyiSK0aU42M,Jairon High,6129,28,rap cristiano,,
7uuvPwRD3I1UHDPNnbaY6C,Stimulator Jones,23288,32,synth funk,,
7uUBTiZ2u5b40vymlFmXrn,George Shearing,36256,41,cool jazz,jazz piano,
7uS4z6GqvIIdZbVq327Ak9,Alt8,5095,26,hard industrial techno,irish electronic,
7uRqC4Bkr9ftK0kBE7M20A,Trenishia',2,0,,,
